"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLERDUS","198511","1.636","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198512","1.61","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198513","1.648","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198601","1.596","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198602","1.614","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198603","1.617","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198604","1.635","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198605","1.623","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198606","1.592","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198607","1.571","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198608","1.561","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198609","1.549","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198610","1.547","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198611","1.533","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198612","1.522","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198613","1.579","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198701","1.504","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198702","1.527","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198703","1.526","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198704","1.552","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198705","1.544","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198706","1.516","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198707","1.5","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198708","1.493","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198709","1.496","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198710","1.496","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198711","1.474","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198712","1.458","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198713","1.506","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198801","1.465","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198802","1.487","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198803","1.493","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198804","1.498","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198805","1.495","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198806","1.463","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198807","1.46","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198808","1.453","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
